Opportunity Name,Opportunity Type,Stage,Created Date,EM Gross Planned Value Currency,EM Gross Planned Value (converted),Schedule Amount,Revenue Type,Programmatic Area,FR Purpose/Outcome,Emergency/HAC,Opportunity Lead Entity,Account/Donor Name,Gross Value in USD (Formula),Emergency/HAC Appeal,Recipient Entity,Beneficiary Country/Recipient Country,Beneficiary Region,Opportunity ID,Account ID,Opportunity Gross Value (converted) Currency,Opportunity Gross Value (converted),Account Category,Account Record Type,Account Level,Account Lead Entity,Lead Account's Region,Account Mailing Country,Lead NatCom/CO Acc. Category,Lead NatCom/CO ID,Lead Entity's UNICEF Region,Account: Created Date,Opportunity Lead Entity Name (Formula),Secondary donor,ISO Code,Business Area (CO/RO/PD),Donor,Type of donors,Funding Type ,Goals,Results,Regional Priority Areas,UNICEF Region,Year,Opportunity Type
Innovation and Research Grants,Public,Negotiating/Contracting,9/7/2024,Dollor,14945.03258,75901.43368,ORR Non-Thematic,Transparency in information and official documents,Education,HAC-UKRAINE,,Natcom d,67338.45447,,,Papua New Guinea,,,,63998.71971,6312040,Women's and diaspora organizations,Private Sector,,TURKIYE NATCOM,MENARO,Denmark,,,NatCom,9/7/2024,ALBANIA CO,African Development Bank (AfDB),PNG,Papua New Guinea,Natcom d,EU,Other Resources Regular,Education,R4,Protecting,EAPRO,2024,Private
Advocacy and Policy Support,Public,Initial Meetings,8/16/2024,Dollor,29034.19048,362.9360033,ORR Non-Thematic,WASH in Schools and ECD centres,Child Protection,HAC-ARMENIA,,Natcom A,45006.43206,,,Paraguay,,,,21106.05521,26162,Sport Associations,Public Sector,,TURKIYE CO,EAPRO,Russian Federation,,,MENARO,8/16/2024,UZBEKISTAN CO,World Bank - Washington D.C.,PRY,Paraguay,Natcom A,Private,Other Resources Emergency,SP,R5,Learning,LACRO,2023,Private
Development Initiatives,Private,Negotiating/Contracting,5/29/2024,Dollor,32938.02754,1532.403991,ORE-Thematic,Building capacity for Evaluation,Increased Immunization Rates,Emergency/HAC,,Natcom d,56431.75561,,,Peru,,,,85873.90192,4975549,IFI/RDB,Private Sector,,ALBANIA CO,ROSA,Armenia,,,NatCom,5/29/2024,TURKIYE CO,World Bank - Washington D.C.,PER,Peru,Natcom d,Private,Other Resources Emergency,Child Protection,R1,Thriving,LACRO,2022,Private
Global Thematic Programs,Private,Negotiating/Contracting,2/5/2024,Dollor,79379.37801,58408.57397,ORR Non-Thematic,Human rights institutions,Emergency Response,Emergency/HAC,,Natcom c,180.8682098,,,Philippines,,,,39537.1383,19993114,Foundation,Private Sector,,TURKIYE NATCOM,ROSA,Montenegro,,,MENARO,2/5/2024,ALBANIA CO,African Development Bank (AfDB),PHL,Philippines,Natcom c,EU,Other Resources Emergency,CP,R3,Learning,EAPRO,2023,Private
Emergency Response,Public,Negotiating/Contracting,5/17/2024,Dollor,31290.56881,82443.27638,ORR Non-Thematic,Gender Equality,Increased Immunization Rates,HAC-ECARO,,G,36229.48701,,,Poland,,,,88349.26424,15542061,Foundation,Private Sector,,BELARUS CO,EAPRO,Uzbekistan,,,ESARO,5/17/2024,BULGARIA CO,Unilever,POL,Poland,G,Bilateral,Other Resources Regular,WASH,R4,Learning,ECA,2024,Private
Humanitarian Funding,Private,Negotiating/Contracting,6/1/2024,Dollor,76007.19196,88688.04848,ORE-Thematic,Cross-Sectoral unearmarked,Advocacy,Emergency/HAC,,Natcom c,6063.101177,,,Portugal,,,,84716.24583,14711929,Corporate,Private Sector,,FRANCE NATCOM,ROSA,Serbia,,,ECARO,6/1/2024,BULGARIA CO,African Development Bank (AfDB),PRT,Portugal,Natcom c,EU,Other Resources Emergency,CP,R3,Including,ECA,2024,Private
Country Programmes,Public,Initial Meetings,10/6/2024,Dollor,72042.77622,48001.02005,Revenue Type,Building capacity for Evaluation,Increased Immunization Rates,Emergency/HAC,,C,15926.36477,,,Qatar,,,,69670.74579,28219437,Foundation,Private Sector,,TAJIKISTAN CO,ROSA,Cyprus,,,NatCom,10/6/2024,UZBEKISTAN CO,African Development Bank (AfDB),QAT,Qatar,C,EU,Other Resources Emergency,SP,R1,Connecting,MENA,2024,Private
Development Initiatives,Private,Secured/Won,10/21/2024,Dollor,39672.77302,29034.49452,Revenue Type,Care and Treatment of Children affected by HIV and AIDS,Emergency Response,Emergency/HAC,,ECHO,64524.20842,,,Republic of Korea,,,,42156.11062,22406203,Sport Associations,Private Sector,,CROATIA CO,MENARO,Netherlands,,,HQ,10/21/2024,TURKIYE CO,European Investment Bank,KOR,Republic of Korea,ECHO,EU,Other Resources Regular,Child Protection,R3,Protecting,EAPRO,2023,Private
Advocacy and Policy Support,Public,Negotiating/Contracting,7/20/2024,Dollor,7360.271246,65227.02965,Revenue Type,digital workspace for visual collaboration,Health,HAC-STATE OF PALESTINE,,EU ECHO,30503.1304,,,Republic of Moldova,,,,74035.54862,9869062,UN Agency/International Agency,Private Sector,,DENMARK NATCOM,WCARO,Greece,,,HQ,7/20/2024,SOMALIA CO,European Investment Bank,MDA,Republic of Moldova,EU ECHO,Private,Other Resources Regular,ADAP,R4,Learning,ECA,2024,Private
Global Thematic Programs,Private,Initial Meetings,10/24/2024,Dollor,32944.40773,39827.745,Revenue Type,Data and Child Protection,Health,Ukraine Response,,C,70269.29752,,,Romania,,,,12759.81148,956272,Women's and diaspora organizations,UNICEF NatCom/CO/Division,,MOLDOVA CO,NatCom,Tajikistan,,,HQ,10/24/2024,SOMALIA CO,The United Kingdom,ROU,Romania,C,Private,Other Resources Regular,Education,R2,Connecting,ECA,2024,Private
Development Initiatives,Private,Secured/Won,8/25/2024,Dollor,49059.99235,77540.49904,Revenue Type,digital workspace for visual collaboration,Emergency Response,Emergency/HAC,,Natcom c,85004.39835,,,Russian Federation,,,,31904.88694,4358320,UN Agency/International Agency,Public Sector,,TAJIKISTAN CO,EAPRO,Bulgaria,,,MENARO,8/25/2024,TURKIYE NATCOM,World Bank - Washington D.C.,RUS,Russian Federation,Natcom c,Private,Other Resources Emergency,SP,R3,Learning,ECA,2022,Private
Country Programmes,Public,Secured/Won,1/20/2024,Dollor,72202.13828,51140.3412,Revenue Type,PFP,Emergency Response,HAC-STATE OF PALESTINE,,G,13914.01117,,,Rwanda,,,,85872.76603,20016234,Corporate,Private Sector,,DENMARK NATCOM,HQ,Russian Federation,,,NatCom,1/20/2024,MONTENEGRO CO,The United Kingdom,RWA,Rwanda,G,Private,Other Resources Regular,WASH,R5,Connecting,SSA,2024,Private
Development Initiatives,Private,Secured/Won,5/26/2024,Dollor,59153.09403,10408.25116,Revenue Type,"Protect, care and support children and families affected by HIV",Child Protection,HAC-ARMENIA,,G,61083.67252,,,Saint Kitts and Nevis,,,,96135.56316,31625852,Central Government,Public Sector,,TURKIYE CO,ROSA,Croatia,,,HQ,5/26/2024,SERBIA CO,The United Kingdom,KNA,Saint Kitts and Nevis,G,Private,Other Resources Emergency,WASH,R5,Thriving,LACRO,2023,Private
Advocacy and Policy Support,Public,Negotiating/Contracting,3/1/2024,Dollor,89600.4168,64437.45181,ORE-Thematic,Birth registration,Education,HAC-ECARO,,EU ECHO,29432.12018,,,Saint Lucia,,,,80744.3906,306200,Central Government,Public Sector,,US FUND,WCARO,Croatia,,,ESARO,3/1/2024,MONTENEGRO CO,European Investment Bank,LCA,Saint Lucia,EU ECHO,EU,Other Resources Emergency,ADAP,R1,Including,LACRO,2024,Private
Global Thematic Programs,Private,Negotiating/Contracting,2/6/2024,Dollor,67116.42073,4360.67862,ORR Non-Thematic,ACT-A/COVAX Pillar 4: RCCE,Child Protection,Ukraine Response,,Natcom A,15260.41456,,,Saint Vincent and the Grenadines,,,,2258.959732,35883462,Central Government,Public Sector,,TAJIKISTAN CO,NatCom,Qatar,,,NatCom,2/6/2024,KOSOVO CO,African Development Bank (AfDB),VCT,Saint Vincent and the Grenadines,Natcom A,EU,Other Resources Emergency,WASH,R3,Connecting,LACRO,2024,Private
Development Initiatives,Private,Negotiating/Contracting,7/29/2024,Dollor,96231.88207,90692.60075,Revenue Type,Cross-sectoral Early Childhood Development,Education,HAC-ARMENIA,,G,76345.2435,,,Samoa,,,,22178.99,2780179,Corporate Foundation,Private Sector,,KOSOVO CO,WCARO,Moldova,,,HQ,7/29/2024,SERBIA CO,African Development Bank (AfDB),WSM,Samoa,G,EU,Other Resources Emergency,Health,R1,Connecting,EAPRO,2022,Private
Humanitarian Funding,Private,Initial Meetings,10/15/2024,Dollor,19632.23354,55100.06909,ORE-Thematic,"Policy advocacy – urban, civil society, parliament, environment",Child Protection,Ukraine Response,,G,9424.177119,,,San Marino,,,,3216.444799,21553037,Multi-Stakeholder Partnership,Public Sector,,NETHERLANDS NATCOM,MENARO,Armenia,,,HQ,10/15/2024,MOLDOVA CO,The United Kingdom,SMR,San Marino,G,Private,Other Resources Emergency,Health,R2,Thriving,ECA,2024,Private
Innovation and Research Grants,Private,Secured/Won,1/1/2024,Dollor,12075.32856,63695.16384,ORE-Thematic,Cross-sectoral planning and programme reviews,Child Protection,HAC-UKRAINE,,G,26611.72352,,,Sao Tome and Principe,,,,13507.07853,20616340,Membership based organizations,Public Sector,,TAJIKISTAN CO,MENARO,Montenegro,,,NatCom,1/1/2024,SOMALIA CO,African Development Bank (AfDB),STP,Sao Tome and Principe,G,EU,Other Resources Regular,WASH,R4,Learning,SSA,2023,Private
Development Initiatives,Private,Initial Meetings,8/15/2024,Dollor,6371.916648,17407.57954,ORR Non-Thematic,Building capacity for Evaluation,Advocacy,HAC-UKRAINE,,Natcom A,51348.1314,,,Saudi Arabia,,,,10785.84534,29244372,IFI/RDB,Public Sector,,CROATIA CO,ECARO,Japan,,,HQ,8/15/2024,ARMENIA CO,African Development Bank (AfDB),SAU,Saudi Arabia,Natcom A,EU,Other Resources Regular,Child Protection,R1,Including,MENA,2024,Private
Innovation and Research Grants,Public,Initial Meetings,3/23/2024,Dollor,65645.42503,50267.1977,ORR Non-Thematic,Nutrition and HIV,Increased Immunization Rates,HAC-ECARO,,Natcom A,82154.62333,,,Senegal,,,,23121.38524,24118506,Central Government,Private Sector,,SENEGAL CO,ROSA,Bulgaria,,,ECARO,3/23/2024,UZBEKISTAN CO,World Bank - Washington D.C.,SEN,Senegal,Natcom A,Private,Other Resources Emergency,Child Protection,R2,Thriving,SSA,2023,Private
Humanitarian Funding,Private,Secured/Won,9/6/2024,Dollor,10837.07732,9524.188089,ORE-Thematic,Special Purpose,Advocacy,HAC-ARMENIA,,Natcom A,90256.11807,,,Serbia,,,,60906.2396,10692421,Multi-Stakeholder Partnership,Private Sector,,ROMANIA CO,NatCom,Moldova,,,MENARO,9/6/2024,US FUND,World Bank - Washington D.C.,SRB,Serbia,Natcom A,Private,Other Resources Emergency,Education,R2,Thriving,ECA,2024,Private
Partnership Funding,Private,Initial Meetings,7/21/2024,Dollor,6191.020978,70323.02989,Revenue Type,Public finance and local governance,Health,HAC-ARMENIA,,Natcom A,84350.14893,,,Seychelles,,,,77147.53563,27697426,Sport Associations,Private Sector,,INDIA CO,WCARO,Cyprus,,,ECARO,7/21/2024,TURKIYE CO,Bureau for Humanitarian Assistance,SYC,Seychelles,Natcom A,Bilateral,Other Resources Regular,ADAP,R2,Protecting,SSA,2024,Private
Advocacy and Policy Support,Public,Secured/Won,4/5/2024,Dollor,11877.74208,87030.44414,ORR Non-Thematic,Sanitation,Advocacy,HAC-ECARO,,G,50055.31551,,,Sierra Leone,,,,84800.09127,1940895,Ministry,Private Sector,,KOSOVO CO,EAPRO,France,,,ECARO,4/5/2024,TAJIKISTAN CO,Unilever,SLE,Sierra Leone,G,Bilateral,Other Resources Regular,WASH,R4,Thriving,SSA,2024,Private
Development Initiatives,Private,Secured/Won,8/5/2024,Dollor,3513.696263,6505.133593,ORR Non-Thematic,WASH and emergencies,Health,HAC-UKRAINE,,G,81042.02667,,,Singapore,,,,34569.34908,1418742,Membership based organizations,Public Sector,,MOLDOVA CO,HQ,Japan,,,MENARO,8/5/2024,GREECE CO,African Development Bank (AfDB),SGP,Singapore,G,EU,Other Resources Regular,WASH,R4,Protecting,EAPRO,2023,Private
Country Programmes,Public,Initial Meetings,1/5/2024,Dollor,86498.49816,97792.20074,Revenue Type,Leadership and Executive Direction,Advocacy,HAC-STATE OF PALESTINE,,ECHO,1291.646536,,,Slovakia,,,,81349.21883,39731111,Women's and diaspora organizations,Private Sector,,CHINA CO,EAPRO,Croatia,,,ECARO,1/5/2024,KOSOVO CO,Unilever,SVK,Slovakia,ECHO,Bilateral,Other Resources Emergency,Education,R5,Thriving,ECA,2023,Private
Advocacy and Policy Support,Public,Negotiating/Contracting,9/17/2024,Dollor,91850.23465,17055.59572,ORR Non-Thematic,Birth registration,Advocacy,HAC-ECARO,,C,855.8063705,,,Slovenia,,,,56583.79667,37435222,Foundation,Public Sector,,SERBIA CO,ROSA,Armenia,,,ESARO,9/17/2024,BULGARIA CO,The United Kingdom,SVN,Slovenia,C,Private,Other Resources Emergency,Child Protection,R4,Including,ECA,2022,Private
Global Thematic Programs,Private,Initial Meetings,11/20/2024,Dollor,205.6631592,32853.66836,ORR Non-Thematic,Capital investments,Child Protection,HAC-ARMENIA,,Natcom A,70976.13351,,,Solomon Islands,,,,87827.54631,1326520,Country Office,Corporate Account,,SENEGAL CO,WCARO,Armenia,,,NatCom,11/20/2024,PPD,World Bank - Washington D.C.,SLB,Solomon Islands,Natcom A,Private,Other Resources Emergency,WASH,R2,Protecting,EAPRO,2022,Private
Partnership Funding,Private,Negotiating/Contracting,1/2/2024,Dollor,28427.84271,2721.40892,ORR Non-Thematic,Care and Treatment of Children affected by HIV and AIDS,Increased Immunization Rates,HAC-UKRAINE,,EU ECHO,3448.892765,,,Somalia,,,,41679.20848,11997665,Corporate,Private Sector,,US FUND,MENARO,Uzbekistan,,,HQ,1/2/2024,MONTENEGRO CO,Bureau for Humanitarian Assistance,SOM,Somalia,EU ECHO,Bilateral,Other Resources Regular,ADAP,R5,Including,SSA,2024,Private
Partnership Funding,Private,Secured/Won,3/1/2024,Dollor,49378.87333,37312.40857,ORE-Thematic,Other – including procurement services,Child Protection,Emergency/HAC,,Natcom c,93256.08913,,,South Africa,,,,75952.14602,19221251,Women's and diaspora organizations,Public Sector,,FRANCE NATCOM,WCARO,Netherlands,,,ESARO,3/1/2024,KYRGYZSTAN CO,African Development Bank (AfDB),ZAF,South Africa,Natcom c,EU,Other Resources Emergency,Child Protection,R5,Connecting,SSA,2022,Private
Global Thematic Programs,Private,Initial Meetings,11/18/2024,Dollor,61897.25656,69851.89892,Revenue Type,Private sector fundraising - Special Purpose,Advocacy,Emergency/HAC,,G,99240.18323,,,South Sudan,,,,41410.45879,3729718,Central Government,Private Sector,,GEORGIA CO,WCARO,Switzerland,,,NatCom,11/18/2024,LEBANON CO,Unilever,SSD,South Sudan,G,Bilateral,Other Resources Regular,Education,R1,Learning,SSA,2023,Private
Innovation and Research Grants,Private,Initial Meetings,2/8/2024,Dollor,73870.09452,78398.81928,ORE-Thematic,Private sector fundraising - Special Purpose,Child Protection,HAC-ECARO,,G,69569.83457,,,Spain,,,,20155.97951,28427490,Membership based organizations,Private Sector,,INNOVATION UNIT,HQ,Montenegro,,,HQ,2/8/2024,UZBEKISTAN CO,The United Kingdom,ESP,Spain,G,Private,Other Resources Emergency,CP,R2,Learning,ECA,2024,Private
Innovation and Research Grants,Public,Negotiating/Contracting,8/18/2024,Dollor,30697.32615,51981.59757,ORE-Thematic,Hygiene,Child Protection,Ukraine Response,,G,14844.10788,,,Sri Lanka,,,,18160.65833,1702103,IFI/RDB,Public Sector,,FRANCE NATCOM,HQ,Netherlands,,,NatCom,8/18/2024,LEBANON CO,The United Kingdom,LKA,Sri Lanka,G,Private,Other Resources Emergency,Health,R4,Learning,ROSA,2023,Private
Partnership Funding,Private,Negotiating/Contracting,6/15/2024,Dollor,98326.70692,56833.40614,ORE-Thematic,Humanitarian Action,Emergency Response,Emergency/HAC,,C,53329.6288,,,State of Palestine,,,,2926.883623,39267387,Central Government,Private Sector,,MONTENEGRO CO,EAPRO,Russian Federation,,,NatCom,6/15/2024,SOMALIA CO,The United Kingdom,PSE,State of Palestine,C,Private,Other Resources Emergency,SP,R1,Including,MENA,2023,Private
Country Programmes,Public,Negotiating/Contracting,4/27/2024,Dollor,88183.08712,85070.51584,ORE-Thematic,ACT-A/COVAX Pillar 3: Vaccine introduction and roll out,Emergency Response,HAC-ECARO,,EU ECHO,99351.0252,,,Sudan,,,,15439.86332,15644639,Multi-Stakeholder Partnership,Public Sector,,ALBANIA CO,HQ,Serbia,,,HQ,4/27/2024,US FUND,European Investment Bank,SDN,Sudan,EU ECHO,EU,Other Resources Emergency,ADAP,R5,Connecting,SSA,2022,Private
Global Thematic Programs,Private,Secured/Won,8/12/2024,Dollor,199.9058319,30683.04836,ORR Non-Thematic,Staff and premises security,Child Protection,HAC-ECARO,,C,49159.3449,,,Suriname,,,,95896.27094,902496,Central Government,UNICEF NatCom/CO/Division,,ARMENIA CO,ROSA,Netherlands,,,HQ,8/12/2024,ALBANIA CO,The United Kingdom,SUR,Suriname,C,Private,Other Resources Emergency,CP,R5,Protecting,LACRO,2022,Private
Country Programmes,Public,Initial Meetings,7/17/2024,Dollor,19875.89412,10053.19992,ORE-Thematic,Education – General,Emergency Response,HAC-UKRAINE,,Natcom A,696.5288869,,,Swaziland,,,,61803.98143,759550,Non-Profit/NGO Foundations,Corporate Account,,TURKIYE CO,NatCom,Bulgaria,,,MENARO,7/17/2024,GEORGIA CO,World Bank - Washington D.C.,SWZ,Swaziland,Natcom A,Private,Other Resources Emergency,ADAP,R5,Including,SSA,2024,Private
Innovation and Research Grants,Public,Initial Meetings,5/19/2024,Dollor,22521.87527,69404.60148,ORE-Thematic,Saving lives and protecting rights in humanitarian situations,Advocacy,HAC-STATE OF PALESTINE,,Natcom c,43969.95067,,,Sweden,,,,98398.48038,29217936,Foundation,Private Sector,,FRANCE NATCOM,HQ,Qatar,,,HQ,5/19/2024,TURKIYE NATCOM,African Development Bank (AfDB),SWE,Sweden,Natcom c,EU,Other Resources Regular,WASH,R4,Learning,ECA,2022,Private
Innovation and Research Grants,Public,Initial Meetings,3/26/2024,Dollor,84590.5081,2203.063786,Revenue Type,Care and Treatment of Children affected by HIV and AIDS,Emergency Response,Ukraine Response,,EU ECHO,70394.7814,,,Switzerland,,,,92818.70193,15314453,Corporate,Private Sector,,ALBANIA CO,WCARO,Moldova,,,MENARO,3/26/2024,ARMENIA CO,Bureau for Humanitarian Assistance,CHE,Switzerland,EU ECHO,Bilateral,Other Resources Emergency,CP,R2,Learning,ECA,2023,Private
Country Programmes,Public,Initial Meetings,7/30/2024,Dollor,10985.55724,34356.38379,Revenue Type,WASH and emergencies,Increased Immunization Rates,HAC-ARMENIA,,Natcom d,25266.77263,,,Syrian Arab Republic,,,,95427.92428,18032109,Sport Associations,Private Sector,,PPD,HQ,Greece,,,ESARO,7/30/2024,ROMANIA CO,Bureau for Humanitarian Assistance,SYR,Syrian Arab Republic,Natcom d,Bilateral,Other Resources Emergency,Health,R1,Connecting,MENA,2023,Private
Country Programmes,Public,Secured/Won,1/2/2024,Dollor,64672.02802,99375.61594,Revenue Type,ACT-A/COVAX Pillar 2 - Therapeutics,Advocacy,HAC-UKRAINE,,ECHO,73893.81195,,,Tajikistan,,,,88212.26059,31902524,Central Government,Private Sector,,INDIA CO,EAPRO,Serbia,,,ESARO,1/2/2024,ALBANIA CO,European Investment Bank,TJK,Tajikistan,ECHO,Private,Other Resources Emergency,ADAP,R5,Including,ECA,2024,Private
Country Programmes,Public,Initial Meetings,10/13/2024,Dollor,51013.22148,5315.484297,Revenue Type,Malaria,Advocacy,HAC-ARMENIA,,EU ECHO,31673.15974,,,Thailand,,,,26338.05901,32463018,Ministry,Private Sector,,UKRAINE CO,EAPRO,Croatia,,,MENARO,10/13/2024,TAJIKISTAN CO,Bureau for Humanitarian Assistance,THA,Thailand,EU ECHO,Bilateral,Other Resources Regular,Health,R1,Thriving,EAPRO,2023,Private
Emergency Response,Public,Initial Meetings,4/15/2024,Dollor,67588.01642,4431.46279,ORR Non-Thematic,Child Protection and emergencies,Advocacy,HAC-ARMENIA,,Natcom d,69390.43243,,,The former Yugoslav Republic of Macedonia,,,,44146.54153,38362684,Ministry,Private Sector,,MONTENEGRO CO,EAPRO,Belarus,,,HQ,4/15/2024,ROMANIA CO,African Development Bank (AfDB),MKD,The former Yugoslav Republic of Macedonia,Natcom d,EU,Other Resources Regular,SP,R3,Learning,ECA,2022,Private
Advocacy and Policy Support,Public,Secured/Won,8/4/2024,Dollor,88758.95204,20174.73011,Revenue Type,Equity – focus on girls’ and inclusive education,Advocacy,HAC-ECARO,,G,64072.07217,,,Timor-Leste,,,,55209.15939,6027238,Governmental Organization,Public Sector,,NETHERLANDS NATCOM,WCARO,Denmark,,,MENARO,8/4/2024,PPD,Unilever,TLS,Timor-Leste,G,Bilateral,Other Resources Regular,Health,R4,Learning,EAPRO,2023,Private
Humanitarian Funding,Private,Initial Meetings,7/28/2024,Dollor,92634.49247,19902.31342,ORR Non-Thematic,Nutrition – Overweight & Obesity,Advocacy,Ukraine Response,,Natcom c,17034.5031,,,Togo,,,,41560.72489,536234,Central Government,Private Sector,,SENEGAL CO,MENARO,Armenia,,,ECARO,7/28/2024,MONTENEGRO CO,African Development Bank (AfDB),TGO,Togo,Natcom c,EU,Other Resources Emergency,SP,R1,Thriving,SSA,2022,Private
Humanitarian Funding,Private,Negotiating/Contracting,10/5/2024,Dollor,69725.9349,1197.154394,Revenue Type,PFP,Education,HAC-UKRAINE,,G,12167.44494,,,Tokelau,,,,24236.04111,28797772,IFI/RDB,Private Sector,,TURKIYE NATCOM,EAPRO,Belarus,,,HQ,10/5/2024,TAJIKISTAN CO,Unilever,TKL,Tokelau,G,Bilateral,Other Resources Emergency,SP,R2,Thriving,EAPRO,2023,Private
Innovation and Research Grants,Public,Negotiating/Contracting,5/7/2024,Dollor,42946.90545,5582.385823,ORE-Thematic,Child Protection – strengthen families and communities,Increased Immunization Rates,Ukraine Response,,Natcom d,61376.47088,,,Tonga,,,,72796.02699,16917390,Account Category,Public Sector,,SENEGAL CO,ECARO,Switzerland,,,NatCom,5/7/2024,TAJIKISTAN CO,World Bank - Washington D.C.,TON,Tonga,Natcom d,Private,Other Resources Regular,WASH,R2,Learning,EAPRO,2022,Private
Innovation and Research Grants,Private,Initial Meetings,6/9/2024,Dollor,72448.68395,56629.01021,ORR Non-Thematic,Human rights institutions,Increased Immunization Rates,HAC-UKRAINE,,EU ECHO,95277.08375,,,Trinidad and Tobago,,,,5146.400556,6955462,Global/Regional Multilaterals,Private Sector,,TURKIYE CO,ROSA,Croatia,,,HQ,6/9/2024,US FUND,European Investment Bank,TTO,Trinidad and Tobago,EU ECHO,Private,Other Resources Emergency,Child Protection,R1,Thriving,LACRO,2024,Private
